Individual;rdf:type;ship:hasSensorProperty;ssn:detects;sosa:isHostedBy;sosa:madeObservation;sosa:observes
StarboardEngineSpeedSensor;ship:EngineSensor;;;StarboardCrankshaft ;StarboardEngineSpeedMeanValue;RotationSpeed
PortEngineSpeedSensor;ship:EngineSensor;;;PortCrankshaft ;PortEngineSpeedMeanValue;RotationSpeed
StarboardEngineOilLevelSensor;ship:EngineSensor;;;StarboardOilSump;StarboardEngineOilLevelMeanValue;Volume
PortEngineOilLevelSensor;ship:EngineSensor;;;PortOilSump;PortEngineOilLevelMeanValue;Volume
StarboardEnginePressureSensor;ship:EngineSensor;;;StarboardEngineBlock;StarboardEnginePressureMeanValue;Pressure
PortEnginePressureSensor;ship:EngineSensor;;;PortEngineBlock;PortEnginePressureMeanValue;Pressure
StarboardEngineFuelTemperatureSensor;ship:EngineSensor;;;StarboardFuelInjector;StarboardEngineFuelTemperatureMeanValue;Temperature
PortEngineFuelTemperatureSensor;ship:EngineSensor;;;PortFuelInjector;PortEngineFuelTemperatureMeanValue;Temperature
StarboardElecticalPotentialSensor;ship:EngineSensor;;;StarboardElectricalSystem;StarboardElecticalPotentialMeanValue;Voltage
PortElecticalPotentialSensor;ship:EngineSensor;;;PortElectricalSystem;PortElecticalPotentialMeanValue;Voltage
StarboardAlternatorCurrentSensor;ship:EngineSensor;;;StarboardAlternator;StarboardAlternatorCurrentMeanValue;Current
PortAlternatorCurrentSensor;ship:EngineSensor;;;PortAlternator;PortAlternatorCurrentMeanValue;Current
StarboardClutchPressureSensor;ship:EngineSensor;;;StarboardClutch;StarboardClutchPressureMeanValue;Pressure
PortClutchPressureSensor;ship:EngineSensor;;;PortClutch;PortClutchPressureMeanValue;Pressure
StarboardEngineAirInletPressureSensor;ship:EngineSensor;;;StarboardAirInlet;StarboardEngineAirInletPressureMeanValue;Pressure
PortEngineAirInletPressureSensor;ship:EngineSensor;;;PortAirInlet;PortEngineAirInletPressureMeanValue;Pressure
StarboardEngineECUTemperatureSensor;ship:EngineSensor;;;StarboardECU;StarboardEngineECUTemperatureMeanValue;Temperature
PortEngineECUTemperatureSensor;ship:EngineSensor;;;PortECU;PortEngineECUTemperatureMeanValue;Temperature
SatrboardEngineExhaustGasTemperatureSensor;ship:EngineSensor;;;SatrboardExhaust;SatrboardEngineExhaustGasTemperatureMeanValue;Temperature
PortEngineExhaustGasTemperatureSensor;ship:EngineSensor;;;PortExhaust;PortEngineExhaustGasTemperatureMeanValue;Temperature
StarboardEngineOilTemperature1Sensor ;ship:EngineSensor;;;StarboardOilSystem;StarboardEngineOilTemperature1MeanValue;Temperature
PortEngineOilTemperature1Sensor;ship:EngineSensor;;;PortOilSystem;PortEngineOilTemperature1MeanValue;Temperature
StarboardEngineCoolantTemperatureSensor;ship:EngineSensor;;;StarboardCoolingSystem;StarboardEngineCoolantTemperatureMeanValue;Temperature
PortEngineCoolantTemperatureSensor;ship:EngineSensor;;;PortCoolingSystem;PortEngineCoolantTemperatureMeanValue;Temperature
StarboardCoolantPressureSensor;ship:EngineSensor;;;StarboardCoolingSystem;StarboardCoolantPressureMeanValue;Pressure
PortEngineCoolantPressureSensor;ship:EngineSensor;;;PortCoolingSystem;PortEngineCoolantPressureMeanValue;Pressure
