Individual;rdf:type;sosa:isFeatureOfInterestOf
FuelLevel;sosa:FeatureOfInterest;FuelTank01MeanValue, FuelTank02MeanValue, FuelTank05MeanValue, FuelTank06MeanValue, FuelTank07MeanValue, FuelTank08MeanValue, FuelTank15MeanValue
FreshwaterLevel;sosa:FeatureOfInterest;FreshwaterTank14MeanValue
BilgeWaterLevel;sosa:FeatureOfInterest;BilgeWaterTank12MeanValue
ShoreConnectionActivePower;sosa:FeatureOfInterest;ShoreConnectionActivePowerMeanValue
ShoreConnectionEnergyConsumption;sosa:FeatureOfInterest;ShoreConnectionConsumptionMeanValue
ShoreConnectionCurrent;sosa:FeatureOfInterest;ShoreConnectionL1CurrentMeanValue, ShoreConnectionL2CurrentMeanValue, ShoreConnectionL3CurrentMeanValue
ShoreConnectionFrequency;sosa:FeatureOfInterest;ShoreConnectionFrequencyMeanValue
ShoreConnectionState;sosa:FeatureOfInterest;
ShoreConnectionVoltage;sosa:FeatureOfInterest;ShoreConnectionVoltageMeanValue
InclinationAngle;sosa:FeatureOfInterest;InclinationMeanValue
PumpPowerState;sosa:FeatureOfInterest;
PumpPressure;sosa:FeatureOfInterest;FirePumpPressureMeanValue
LubricationOilTemperature;sosa:FeatureOfInterest;StarboardGearBoxLubOilTemperatureMeanValue, PortGearBoxLubOilTemperatureMeanValue
FanRotationSpeed;sosa:FeatureOfInterest;StarboardFanRotationSpeedMeanValue, PortFanRotationSpeedMeanValue
BatteryVoltage;sosa:FeatureOfInterest;BridgeBatteryVoltageMeanValue, AutomationBatteryVoltageMeanValue
BatteryCurrent;sosa:FeatureOfInterest;BridgeBatteryCurrentMeanValue, AutomationBatteryCurrentMeanValue
AutomaticModeStatus;sosa:FeatureOfInterest;
CoolantTemperature;sosa:FeatureOfInterest;SmallAuxDieselEngineCoolWaterTemperatureMeanValue, StarboardEngineCoolantTemperatureMeanValue, PortEngineCoolantTemperatureMeanValue
EngineCurrent;sosa:FeatureOfInterest;SmallAuxDieselEngineL1CurrentMeanValue, SmallAuxDieselEngineL2CurrentMeanValue, SmallAuxDieselEngineL3CurrentMeanValue, LargeAuxDieselEngineL1CurrentMeanValue,  LargeAuxDieselEngineL2CurrentMeanValue, LargeAuxDieselEngineL3CurrentMeanValue, StarboardEngineAlternatorCurrentMeanValue, PortEngineAlternatorCurrentMeanValue
EngineFrequency;sosa:FeatureOfInterest;SmallAuxDieselEngineFrequencyMeanValue, LargeAuxDieselEngineFrequencyMeanValue
GovernorSpeedLoad;sosa:FeatureOfInterest;SmallAuxDieselEngineGSLMeanValue, LargeAuxDieselEngineGSLMeanValue
EngineLoad;sosa:FeatureOfInterest;SmallAuxDieselEngineLoadMeanValue, LargeAuxDieselEngineLoadMeanValue
LubricationOilPressure;sosa:FeatureOfInterest;SmallAuxDieselEngineLubOilPressureMeanValue
EnginePower;sosa:FeatureOfInterest;SmallAuxDieselEnginePowerMeanValue, LargeAuxDieselEnginePowerMeanValue
EngineVoltage;sosa:FeatureOfInterest;SmallAuxDieselEngineVoltageMeanValue, LargeAuxDieselEngineVoltageMeanValue, StarboardElecticalPotentialMeanValue, PortElecticalPotentialMeanValue
HydraulicSystemState;sosa:FeatureOfInterest;
RoomTemperature;sosa:FeatureOfInterest;MachineRoomTemperatureMeanValue
WastewaterState;sosa:FeatureOfInterest;
TankAlarmStatus;sosa:FeatureOfInterest;
EngineRotationSpeed;sosa:FeatureOfInterest;StarboardEngineSpeedMeanValue, PortEngineSpeedMeanValue
OilLevel;sosa:FeatureOfInterest;StarboardEngineOilLevelMeanValue, PortEngineOilLevelMeanValue
EnginePressure;sosa:FeatureOfInterest;StarboardEnginePressureMeanValue, PortEnginePressureMeanValue
FuelTemperature;sosa:FeatureOfInterest;StarboardEngineFuelTemperatureMeanValue, PortEngineFuelTemperatureMeanValue
AlternatorCurrent;sosa:FeatureOfInterest;StarboardAlternatorCurrentMeanValue, PortAlternatorCurrentMeanValue
ClutchPressure;sosa:FeatureOfInterest;StarboardClutchPressureMeanValue, PortClutchPressureMeanValue
AirInletPressure;sosa:FeatureOfInterest;StarboardEngineAirInletPressureMeanValue, PortEngineAirInletPressureMeanValue
ECUTemperature;sosa:FeatureOfInterest;StarboardEngineECUTemperatureMeanValue, PortEngineECUTemperatureMeanValue
ExhaustGasTemperature;sosa:FeatureOfInterest;SatrboardEngineExhaustGasTemperatureMeanValue, PortEngineExhaustGasTemperatureMeanValue
OilTemperature;sosa:FeatureOfInterest;StarboardEngineOilTemperature1MeanValue, PortEngineOilTemperature1MeanValue
CoolantPressure;sosa:FeatureOfInterest;StarboardCoolantPressureMeanValue, PortEngineCoolantPressureMeanValue
