Individual;rdf:type;sosa:isObservedBy
Volume;sosa:ObservableProperty;FuelTank01Sensor, FuelTank02Sensor, FuelTank05Sensor, FuelTank06Sensor, FuelTank07Sensor, FuelTank08Sensor, FuelTank15Sensor, FreshwaterTank14Sensor, BilgeWaterTank12Sensor, StarboardEngineOilLevelSensor, PortEngineOilLevelSensor
Power;sosa:ObservableProperty;ShoreConnectionActivePowerSensor, SmallAuxDieselEnginePowerSensor, LargeAuxDieselEnginePowerSensor
Consumption;sosa:ObservableProperty;ShoreConnectionConsumptionSensor
Current;sosa:ObservableProperty;ShoreConnectionCurrentL1Sensor, ShoreConnectionCurrentL2Sensor, ShoreConnectionCurrentL3Sensor, BridgeBatteryCurrentSensor, AutomationBatteryCurrentSensor, SmallAuxDieselEngineCurrentL1Sensor, SmallAuxDieselEngineCurrentL2Sensor, SmallAuxDieselEngineCurrentL3Sensor, LargeAuxDieselEngineCurrentL1Sensor, LargeAuxDieselEngineCurrentL2Sensor, LargeAuxDieselEngineCurrentL3Sensor, StarboardEngineAlternatorCurrentSensor, PortEngineAlternatorCurrentSensor, StarboardAlternatorCurrentSensor, PortAlternatorCurrentSensor
Frequency;sosa:ObservableProperty;ShoreConnectionFrequencySensor, SmallAuxDieselEngineFrequencySensor, LargeAuxDieselEngineFrequencySensor
ConnectionState;sosa:ObservableProperty;ShoreConnectionOnSensor
Voltage;sosa:ObservableProperty;ShoreConnectionVoltageSensor, BridgeBatteryVoltageSensor, AutomationBatteryVoltageSensor, SmallAuxDieselEngineVoltageSensor, LargeAuxDieselEngineVoltageSensor, StarboardElecticalPotentialSensor, PortElecticalPotentialSensor
Angle;sosa:ObservableProperty;InclinationSensor
PowerState;sosa:ObservableProperty;KFWAPumpPowerIndicatorSensor
Pressure;sosa:ObservableProperty;FirePumpPressureSensor, SmallAuxDieselEngineLubOilPressureSensor, StarboardEnginePressureSensor, PortEnginePressureSensor, StarboardClutchPressureSensor, PortClutchPressureSensor, StarboardEngineAirInletPressureSensor, PortEngineAirInletPressureSensor, StarboardCoolantPressureSensor, PortEngineCoolantPressureSensor
Temperature;sosa:ObservableProperty;StarboardGearBoxLubOilTemperatureSensor, PortGearBoxLubOilTemperatureSensor, SmallAuxDieselEngineCoolWaterTemperatureSensor, MachineRoomTemperatureSensor, StarboardEngineFuelTemperatureSensor, PortEngineFuelTemperatureSensor, StarboardEngineECUTemperatureSensor, PortEngineECUTemperatureSensor, SatrboardEngineExhaustGasTemperatureSensor, PortEngineExhaustGasTemperatureSensor, StarboardEngineOilTemperature1Sensor , PortEngineOilTemperature1Sensor, StarboardEngineCoolantTemperatureSensor, PortEngineCoolantTemperatureSensor
RotationSpeed;sosa:ObservableProperty;StarboardFanRotationSpeedSensor, PortFanRotationSpeedSensor, StarboardEngineSpeedSensor, PortEngineSpeedSensor
ActivationStatus;sosa:ObservableProperty;SmallAuxDieselEngineAutomaticModeSensor, LargeAuxDieselEngineAutomaticModeSensor, Wastewater25PercentSensor, Wastewater50PercentSensor, Wastewater75PercentSensor, Wastewater90PercentSensor, TankAlarmActiveSensor
SpeedLoad;sosa:ObservableProperty;SmallAuxDieselEngineGSLSensor, LargeAuxDieselEngineGSLSensor
Load;sosa:ObservableProperty;SmallAuxDieselEngineLoadSensor, LargeAuxDieselEngineLoadSensor
SystemState;sosa:ObservableProperty;LargeAuxDieselEngineHydraulicActiveSensor
